id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
bubmRKTm,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,1,2,0,3,R. Abatti Abel (Bra),Estádio Rei Pelé (Maceió),19105,5939.0,06/11/2022,18:30,BRASIL,SÉRIE B - RODADA 38
61ofp0zQ,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,CSA,https://static.flashscore.com/res/image/data/UPX8Hag5-tQk41rnG.png,3,2,3,0,Goncalves Lima J. (Bra),Mineirão (Belo Horizonte),61927,61291.0,06/11/2022,18:30,BRASIL,SÉRIE B - RODADA 38
pd0aOID6,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,0,1,0,3,Wilton Sampaio (Bra),Estádio Novelli Júnior (Itu),18560,14322.0,06/11/2022,18:30,BRASIL,SÉRIE B - RODADA 38
2Xf4NxTC,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,0,3,0,3,P. C. Zanovelli (Bra),Estádio Germano Krüger (Ponta Grossa),10632,,06/11/2022,18:30,BRASIL,SÉRIE B - RODADA 38
CrOMuKrs,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,0,0,1,1,Paulo Roberto (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788,4109.0,06/11/2022,18:30,BRASIL,SÉRIE B - RODADA 38
GG8rS0Es,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,1,0,3,0,L. Simão (Bra),Estádio Brinco de Ouro (Campinas),29130,13844.0,06/11/2022,16:00,BRASIL,SÉRIE B - RODADA 38
fRsjotLJ,Sampaio Corrêa,https://static.flashscore.com/res/image/data/KMTdZsxS-6NoYJwvQ.png,Londrina,https://static.flashscore.com/res/image/data/ADUlTugl-dAibSIqE.png,2,1,3,0,Paludo F. (Bra),Estádio Governador João Castelo (São Luís),40149,3494.0,05/11/2022,18:00,BRASIL,SÉRIE B - RODADA 38
651ePbb0,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Tombense,https://static.flashscore.com/res/image/data/UHHDSjzB-Uk2dj2zB.png,2,0,3,0,Vitor Gobi J. (Bra),Estádio Heriberto Hülse (Criciúma),19300,8905.0,05/11/2022,16:00,BRASIL,SÉRIE B - RODADA 38
Cr2iQvqf,Náutico,https://static.flashscore.com/res/image/data/CK0W4Hhl-4S2Tm4eJ.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,0,1,0,3,R. Goulart (Bra),Estádio Eládio de Barros Carvalho (Recife),22856,4011.0,04/11/2022,21:30,BRASIL,SÉRIE B - RODADA 38
tOg8MdrJ,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,3,0,3,0,R. J. Pereira de Lima (Bra),Arena do Grêmio (Porto Alegre),60540,15232.0,03/11/2022,20:00,BRASIL,SÉRIE B - RODADA 38
